id,userId,sessionDate,focusHP,distractionCount,xpEarned,bossLevel,warStatus,createdAt,updatedAt
25f066fd-f396-48e6-9bd8-59160106e8cc,5da5eae3-bb09-418d-bfd8-d8430dfd00f2,2026-04-01,0,10,0,FINAL_BOSS,DEFEATED,2026-03-31T18:34:19.791913Z,2026-03-31T18:35:22.738566Z
445b6b8d-9a50-498d-aa7b-f58c815a1641,5da5eae3-bb09-418d-bfd8-d8430dfd00f2,2026-04-01,100,0,5400,NONE,VICTORY,2026-03-31T18:35:42.325698Z,2026-03-31T18:37:00.158251Z
